drive,seed,mode,separation,within_corr,across_corr,internal_spread,broken,collective_mean_norm,max_update_speed
1.3,63,stress,0.01748807446436658,0.13778976312280303,0.12030168865843645,0.41316371170556593,2,2.6493291011520743e-16,3.0000000000009868
1.3,63,random_matched,0.009441916614102264,0.13638952375576915,0.1269476071416669,0.6329455845243325,2,2.340555645717801e-16,3.0000000000009868
1.4,0,stress,0.21481755234307393,0.3680627661347049,0.15324521379163097,0.05537806903797584,23,1.2082799736534336e-15,3.0000000000009885
1.4,0,random_matched,0.24548417800281633,0.4073755744362808,0.16189139643346448,0.0738140656322864,23,8.459761032879693e-16,3.000000000000991
1.4,1,stress,0.12857096839456494,0.2819618831363851,0.15339091474182015,0.11427363274210942,14,1.6011864169946884e-15,3.000000000000998
1.4,1,random_matched,0.12413338076312433,0.26197523508114523,0.1378418543180209,0.12209698912472035,14,1.2953923580610603e-15,3.0000000000009917
1.4,2,stress,0.1791486890281143,0.34595638146983443,0.16680769244172014,0.06935171262506586,24,1.4336873553038261e-15,3.000000000000993
1.4,2,random_matched,0.2413024304462873,0.402261246440269,0.1609588159939817,0.0720741706879512,24,1.9266092968206903e-15,3.0000000000009988
1.4,3,stress,0.2168333224846085,0.3765075739867349,0.1596742515021264,0.05296071333170947,27,1.5977614153893207e-15,3.0000000000009988
1.4,3,random_matched,0.2946334640048793,0.47551959193400306,0.18088612792912379,0.054346240896047324,27,2.0841595422014524e-15,3.000000000000999
1.4,4,stress,0.15412549774286538,0.31023540831494256,0.15610991057207718,0.06123201817618317,26,2.3388727663451656e-15,3.0000000000009934
1.4,4,random_matched,0.20590258107609577,0.36502138945963664,0.15911880838354087,0.06881600338761736,26,2.8164350272509576e-15,3.000000000000999
1.4,5,stress,0.22989295772156948,0.382356474688172,0.15246351696660254,0.07507477418079787,21,1.601533858990097e-15,3.000000000000997
1.4,5,random_matched,0.23732108330827992,0.39573243194643765,0.15841134863815773,0.048127551834471025,21,2.5629515266461773e-15,3.0000000000009988
1.4,6,stress,0.1039192167314057,0.2767319559427493,0.1728127392113436,0.06111620663959279,24,3.5351301838705644e-16,3.0000000000009925
1.4,6,random_matched,0.2663480087428679,0.43406058240004564,0.16771257365717776,0.11945882476043905,24,2.0429862426984522e-16,3.0000000000009943
1.4,7,stress,0.25379866521838457,0.4072840564299083,0.15348539121152374,0.03490986742759771,26,4.2598755757003773e-16,3.000000000000991
1.4,7,random_matched,0.19467494644872063,0.34351410972116314,0.1488391632724425,0.05692296896075752,26,4.335559509131367e-16,3.000000000000995
1.4,8,stress,0.16828297199173065,0.32405253444593535,0.1557695624542047,0.06282610742500516,24,2.173379529683517e-15,3.0000000000009988
1.4,8,random_matched,0.3558756906489004,0.5119227417696576,0.15604705112075717,0.033401158503746975,24,4.536242001337384e-16,3.000000000000996
1.4,9,stress,0.14848533333412883,0.29844688707177464,0.1499615537376458,0.06345369368110156,19,8.236232906228388e-16,3.000000000000998
1.4,9,random_matched,0.20642900618692656,0.36304214437927973,0.15661313819235317,0.08029791650691169,19,9.23345216014585e-16,3.000000000000997
1.4,10,stress,0.1736015152322276,0.3195541519874215,0.14595263675519388,0.11419581222092728,17,1.2899299254283176e-15,3.0000000000009943
1.4,10,random_matched,0.1712835762539411,0.31557751294143876,0.14429393668749765,0.07812601665950661,17,5.329464028904865e-16,3.000000000000997
1.4,11,stress,0.18981112716873022,0.3452548338306665,0.1554437066619363,0.06343410730618894,18,3.931332320154521e-15,3.0000000000009943
1.4,11,random_matched,0.18180595515544426,0.3434964568793127,0.16169050172386842,0.1285820836179676,18,1.1517356245282644e-15,3.0000000000009983
1.4,12,stress,0.25545673221264137,0.41239738912205987,0.1569406569094185,0.05080607413354208,29,1.3697750728733728e-15,3.0000000000009877
1.4,12,random_matched,0.2891694492088968,0.4549419860721929,0.16577253686329607,0.04313161038161533,29,8.881784197001252e-16,3.0000000000009988
1.4,13,stress,0.11440724513055006,0.24096607559221522,0.12655883046166516,0.22398546248645892,13,1.6412682647553398e-15,3.0000000000009823
1.4,13,random_matched,0.07930705320041789,0.22045154867791683,0.14114449547749894,0.15889896387008468,13,1.3481389725457202e-15,3.0000000000009934
1.4,14,stress,0.2001206099545603,0.35754983968699616,0.15742922973243587,0.08076812082092838,24,6.79235500319919e-16,3.000000000000997
1.4,14,random_matched,0.23708752209454362,0.39763938003143967,0.16055185793689605,0.08083895517332172,24,3.293210923906458e-15,3.000000000000997
1.4,15,stress,0.2663398168599823,0.443404450390159,0.1770646335301767,0.0616502477654599,24,1.8212595489866147e-15,3.0000000000009988
1.4,15,random_matched,0.21220574762097436,0.3956074256586662,0.18340167803769183,0.06139593365393855,24,1.4540944083918575e-15,3.0000000000009965
1.4,16,stress,0.13309091622382332,0.278870533162038,0.1457796169382147,0.11797628134290543,21,1.660085149892592e-15,3.0000000000009943
1.4,16,random_matched,0.2334947125524296,0.3971301859563164,0.1636354734038868,0.09817990266246045,21,2.3473890528506584e-15,3.0000000000009943
1.4,17,stress,0.11809910280540215,0.25564411738491705,0.1375450145795149,0.08437554999588896,18,2.1337120693192396e-15,3.000000000000998
1.4,17,random_matched,0.1266717863016701,0.26291967311402076,0.13624788681235067,0.11818025853591348,18,9.854423759932659e-16,3.0000000000009934
1.4,18,stress,0.1877973477189282,0.3467638324263937,0.1589664847074655,0.09483312501536707,20,2.189707269527006e-15,3.0000000000009983
1.4,18,random_matched,0.2700124782680759,0.4348515966838846,0.16483911841580873,0.10453583808047466,20,1.3867915647356258e-15,3.0000000000009943
1.4,19,stress,0.20578481993057998,0.35977779862859227,0.1539929786980123,0.0686659814978731,23,3.513736629610593e-15,3.0000000000009948
1.4,19,random_matched,0.18956639985545898,0.34396515390452315,0.15439875404906417,0.076659702917455,23,1.8740266945893096e-15,3.0000000000009988
1.4,20,stress,0.2592434412474337,0.4348409111817903,0.17559746993435663,0.0627102629001938,26,3.0517809367785105e-15,3.0000000000009956
1.4,20,random_matched,0.26096628026706636,0.43098413176498074,0.17001785149791435,0.06415484271346909,26,2.0509796555532965e-15,3.0000000000009983
1.4,21,stress,0.17256509606354012,0.32923572580482124,0.15667062974128113,0.07728351560834033,18,2.4214431068226483e-16,3.0000000000009988
1.4,21,random_matched,0.19949515565395295,0.3566718026060027,0.15717664695204972,0.12735586400416746,18,5.573016659005863e-16,3.000000000000998
1.4,22,stress,0.21229973559286264,0.35477320814642704,0.1424734725535644,0.07228774652378576,21,2.668644028324481e-16,3.000000000000997
1.4,22,random_matched,0.2371445362736105,0.389454827387231,0.15231029111362046,0.04614375474239817,21,2.4313453084954285e-15,3.0000000000009917
1.4,23,stress,0.2084899355952882,0.3657861429756449,0.15729620738035668,0.13581372336731462,20,1.056171682913856e-15,3.000000000000995
1.4,23,random_matched,0.15782616530989557,0.30957616869257953,0.15175000338268396,0.13479773599367956,20,4.024088532808155e-15,3.0000000000009988
1.4,24,stress,0.17623919408478758,0.34959215573886643,0.17335296165407885,0.04380480586971109,23,1.965868910654432e-15,3.000000000000996
1.4,24,random_matched,0.23305180605794118,0.38555436660330095,0.15250256054535977,0.05177049017062869,23,1.189430678393514e-15,3.0000000000009988
1.4,25,stress,0.1688498720995366,0.33014085022099315,0.16129097812145654,0.08244029612217302,22,8.954996705992654e-16,3.0000000000009996
1.4,25,random_matched,0.11258222851770491,0.26818905784568914,0.15560682932798423,0.10588974224251403,22,2.0644916481720533e-15,3.000000000000998
1.4,26,stress,0.21342517391679106,0.3436223836141057,0.13019720969731463,0.06799995606643734,16,9.964556600469696e-16,3.000000000000995
1.4,26,random_matched,0.14574389110824343,0.29281102199198306,0.14706713088373963,0.12197003779152472,16,1.7668143226579438e-15,3.000000000000974
1.4,27,stress,0.1695497276661962,0.33593131075818694,0.16638158309199075,0.08505736149642219,26,3.244013502388288e-15,3.000000000000997
1.4,27,random_matched,0.2933693934217622,0.461208744542974,0.1678393511212118,0.05025125292310276,26,2.288504062754188e-15,3.000000000000995
1.4,28,stress,0.1956613634676588,0.3474638977108892,0.1518025342432304,0.0457897386817519,23,2.703965467068481e-15,3.0000000000009974
1.4,28,random_matched,0.21498810098611498,0.3705544536100098,0.15556635262389484,0.07915508227765916,23,4.296210866789004e-15,3.0000000000009974
1.4,29,stress,0.20930829052774616,0.34738104419657645,0.1380727536688303,0.07275307201214629,20,1.7767422916863106e-15,3.0000000000009988
1.4,29,random_matched,0.17656573716757668,0.31516808352937187,0.1386023463617952,0.08571750937442879,20,2.3876428192409006e-15,3.0000000000009974
1.4,30,stress,0.16922388633698998,0.31557661946587456,0.14635273312888458,0.12540567581642428,18,2.355229548105094e-15,3.000000000000994
1.4,30,random_matched,0.1588736202783279,0.31456769008064994,0.15569406980232203,0.1335130014622367,18,1.8452761694870047e-15,3.000000000000998
1.4,31,stress,0.21177392149130786,0.37464562035292703,0.16287169886161917,0.05159199576267593,25,3.205164819027931e-15,3.000000000000998
