model,seed,family,direction,normalized_trajectory_l2_error,memory_rms
advection_diffusion,26090446,heldout_harmonic_mode,plus,0.048619445327929556,0.0019197461139617755
advection_diffusion,26090446,heldout_harmonic_mode,minus,0.048619411708370024,0.0019197461139617755
advection_diffusion,26090446,heldout_two_lobe_mode,plus,0.04861966863721753,0.0015132658141173653
advection_diffusion,26090446,heldout_two_lobe_mode,minus,0.04861918170460447,0.0015475966141568723
advection_diffusion,26090447,heldout_harmonic_mode,plus,0.04861944532792959,0.0019197461139617755
advection_diffusion,26090447,heldout_harmonic_mode,minus,0.04861941170837003,0.0019197461139617757
advection_diffusion,26090447,heldout_two_lobe_mode,plus,0.048619668637217554,0.0015132658141173655
advection_diffusion,26090447,heldout_two_lobe_mode,minus,0.048619181704604476,0.0015475966141568725
diffusion_reaction,26090424,heldout_harmonic_mode,plus,0.005648519629083709,0.001919746113961775
diffusion_reaction,26090424,heldout_harmonic_mode,minus,0.005638734338632598,0.0019197461139617755
diffusion_reaction,26090424,heldout_two_lobe_mode,plus,0.005643750422442407,0.0015132658141173653
diffusion_reaction,26090424,heldout_two_lobe_mode,minus,0.005643453124507004,0.0015475966141568723
diffusion_reaction,26090425,heldout_harmonic_mode,plus,0.005648519629083713,0.0019197461139617757
diffusion_reaction,26090425,heldout_harmonic_mode,minus,0.005638734338632637,0.001919746113961775
diffusion_reaction,26090425,heldout_two_lobe_mode,plus,0.005643750422442401,0.001513265814117365
diffusion_reaction,26090425,heldout_two_lobe_mode,minus,0.005643453124507023,0.0015475966141568723
diffusion_reaction,26090426,heldout_harmonic_mode,plus,0.0056485196290837,0.0019197461139617755
diffusion_reaction,26090426,heldout_harmonic_mode,minus,0.00563873433863262,0.0019197461139617753
diffusion_reaction,26090426,heldout_two_lobe_mode,plus,0.005643750422442384,0.001513265814117365
diffusion_reaction,26090426,heldout_two_lobe_mode,minus,0.0056434531245069895,0.0015475966141568723
diffusion_reaction,26090427,heldout_harmonic_mode,plus,0.005648519629083728,0.0019197461139617755
diffusion_reaction,26090427,heldout_harmonic_mode,minus,0.00563873433863262,0.0019197461139617755
diffusion_reaction,26090427,heldout_two_lobe_mode,plus,0.00564375042244239,0.0015132658141173655
diffusion_reaction,26090427,heldout_two_lobe_mode,minus,0.005643453124507014,0.0015475966141568725
diffusion_reaction,26090428,heldout_harmonic_mode,plus,0.005648519629083718,0.0019197461139617755
diffusion_reaction,26090428,heldout_harmonic_mode,minus,0.005638734338632609,0.0019197461139617753
diffusion_reaction,26090428,heldout_two_lobe_mode,plus,0.0056437504224423965,0.0015132658141173653
diffusion_reaction,26090428,heldout_two_lobe_mode,minus,0.005643453124507014,0.0015475966141568723
diffusion_reaction,26090429,heldout_harmonic_mode,plus,0.005648519629083709,0.0019197461139617755
diffusion_reaction,26090429,heldout_harmonic_mode,minus,0.005638734338632596,0.0019197461139617757
diffusion_reaction,26090429,heldout_two_lobe_mode,plus,0.005643750422442386,0.0015132658141173653
diffusion_reaction,26090429,heldout_two_lobe_mode,minus,0.005643453124506978,0.0015475966141568723
diffusion_reaction,26090430,heldout_harmonic_mode,plus,0.005648519629083695,0.0019197461139617755
diffusion_reaction,26090430,heldout_harmonic_mode,minus,0.005638734338632598,0.0019197461139617757
diffusion_reaction,26090430,heldout_two_lobe_mode,plus,0.005643750422442374,0.0015132658141173653
diffusion_reaction,26090430,heldout_two_lobe_mode,minus,0.005643453124506991,0.0015475966141568723
diffusion_reaction,26090431,heldout_harmonic_mode,plus,0.00564851962908371,0.0019197461139617755
diffusion_reaction,26090431,heldout_harmonic_mode,minus,0.0056387343386326075,0.0019197461139617755
diffusion_reaction,26090431,heldout_two_lobe_mode,plus,0.005643750422442386,0.001513265814117365
diffusion_reaction,26090431,heldout_two_lobe_mode,minus,0.005643453124506994,0.0015475966141568723
diffusion_reaction,26090432,heldout_harmonic_mode,plus,0.005648519629083684,0.0019197461139617753
diffusion_reaction,26090432,heldout_harmonic_mode,minus,0.005638734338632603,0.0019197461139617753
diffusion_reaction,26090432,heldout_two_lobe_mode,plus,0.005643750422442372,0.0015132658141173655
diffusion_reaction,26090432,heldout_two_lobe_mode,minus,0.005643453124507,0.0015475966141568725
diffusion_reaction,26090433,heldout_harmonic_mode,plus,0.0056485196290837255,0.0019197461139617755
diffusion_reaction,26090433,heldout_harmonic_mode,minus,0.005638734338632639,0.0019197461139617757
diffusion_reaction,26090433,heldout_two_lobe_mode,plus,0.005643750422442389,0.0015132658141173655
diffusion_reaction,26090433,heldout_two_lobe_mode,minus,0.005643453124507019,0.0015475966141568725
diffusion_reaction,26090434,heldout_harmonic_mode,plus,0.005648519629083693,0.0019197461139617755
diffusion_reaction,26090434,heldout_harmonic_mode,minus,0.005638734338632592,0.0019197461139617753
diffusion_reaction,26090434,heldout_two_lobe_mode,plus,0.005643750422442379,0.0015132658141173655
diffusion_reaction,26090434,heldout_two_lobe_mode,minus,0.005643453124507012,0.0015475966141568728
diffusion_reaction,26090435,heldout_harmonic_mode,plus,0.005648519629083717,0.0019197461139617753
diffusion_reaction,26090435,heldout_harmonic_mode,minus,0.005638734338632612,0.0019197461139617753
diffusion_reaction,26090435,heldout_two_lobe_mode,plus,0.005643750422442382,0.0015132658141173653
