seed,family,direction,kernel_error,f_only_error,maxwell_error,present_match_max_abs
26092431,heldout_diagonal_mode,plus,0.0,2.3266578578223838e-05,2.3266578578223838e-05,0.0
26092431,heldout_diagonal_mode,minus,0.0,2.3283746791928193e-05,2.3283746791928193e-05,0.0
26092432,calibration_mode_a,plus,0.0,2.2156900970686823e-05,2.2156900970686823e-05,0.0
26092432,calibration_mode_a,minus,0.0,2.2529178511360672e-05,2.2529178511360672e-05,0.0
26092432,calibration_mode_b,plus,0.0,2.8836447716834062e-05,2.8836447716834062e-05,0.0
26092432,calibration_mode_b,minus,0.0,1.5645190468715466e-05,1.5645190468715466e-05,0.0
26092432,heldout_harmonic_mode,plus,0.0,2.8152247477551145e-05,2.8152247477551145e-05,0.0
26092432,heldout_harmonic_mode,minus,0.0,2.8173571021875786e-05,2.8173571021875786e-05,0.0
26092432,heldout_two_lobe_mode,plus,0.0,2.129281068184677e-05,2.129281068184677e-05,0.0
26092432,heldout_two_lobe_mode,minus,0.0,2.1915013344840596e-05,2.1915013344840596e-05,0.0
26092432,heldout_diagonal_mode,plus,0.0,2.326657857822525e-05,2.326657857822525e-05,0.0
26092432,heldout_diagonal_mode,minus,0.0,2.3283746791913713e-05,2.3283746791913713e-05,0.0
26092433,calibration_mode_a,plus,0.0,2.2156900970683218e-05,2.2156900970683218e-05,0.0
26092433,calibration_mode_a,minus,0.0,2.2529178511370183e-05,2.2529178511370183e-05,0.0
26092433,calibration_mode_b,plus,0.0,2.8836447716822844e-05,2.8836447716822844e-05,0.0
26092433,calibration_mode_b,minus,0.0,1.5645190468721734e-05,1.5645190468721734e-05,0.0
26092433,heldout_harmonic_mode,plus,0.0,2.8152247477515993e-05,2.8152247477515993e-05,0.0
26092433,heldout_harmonic_mode,minus,0.0,2.8173571021899157e-05,2.8173571021899157e-05,0.0
26092433,heldout_two_lobe_mode,plus,0.0,2.12928106818299e-05,2.12928106818299e-05,0.0
26092433,heldout_two_lobe_mode,minus,0.0,2.1915013344850032e-05,2.1915013344850032e-05,0.0
26092433,heldout_diagonal_mode,plus,0.0,2.3266578578247484e-05,2.3266578578247484e-05,0.0
26092433,heldout_diagonal_mode,minus,0.0,2.3283746791934655e-05,2.3283746791934655e-05,0.0
26092434,calibration_mode_a,plus,0.0,2.2156900970685427e-05,2.2156900970685427e-05,0.0
26092434,calibration_mode_a,minus,0.0,2.252917851133851e-05,2.252917851133851e-05,0.0
26092434,calibration_mode_b,plus,0.0,2.8836447716825615e-05,2.8836447716825615e-05,0.0
26092434,calibration_mode_b,minus,0.0,1.56451904687229e-05,1.56451904687229e-05,0.0
26092434,heldout_harmonic_mode,plus,0.0,2.8152247477546262e-05,2.8152247477546262e-05,0.0
26092434,heldout_harmonic_mode,minus,0.0,2.8173571021863616e-05,2.8173571021863616e-05,0.0
26092434,heldout_two_lobe_mode,plus,0.0,2.129281068183024e-05,2.129281068183024e-05,0.0
26092434,heldout_two_lobe_mode,minus,0.0,2.1915013344837716e-05,2.1915013344837716e-05,0.0
