model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092402,calibration_mode_b,plus,0.2,0.05,4.22123887345966e-05
maxwell,26092402,calibration_mode_b,plus,0.4,0.0,2.883644771683884e-05
maxwell,26092402,calibration_mode_b,plus,0.4,0.01,3.2699557210443395e-05
maxwell,26092402,calibration_mode_b,plus,0.4,0.05,5.078001764321494e-05
maxwell,26092402,calibration_mode_b,minus,0.05,0.0,1.5645190468737167e-05
maxwell,26092402,calibration_mode_b,minus,0.05,0.01,1.5967654438439365e-05
maxwell,26092402,calibration_mode_b,minus,0.05,0.05,1.760287497930231e-05
maxwell,26092402,calibration_mode_b,minus,0.1,0.0,1.5645190468737167e-05
maxwell,26092402,calibration_mode_b,minus,0.1,0.01,1.6277116141247837e-05
maxwell,26092402,calibration_mode_b,minus,0.1,0.05,1.9901554615859462e-05
maxwell,26092402,calibration_mode_b,minus,0.2,0.0,1.5645190468737167e-05
maxwell,26092402,calibration_mode_b,minus,0.2,0.01,1.6837005231318405e-05
maxwell,26092402,calibration_mode_b,minus,0.2,0.05,2.4496908257042324e-05
maxwell,26092402,calibration_mode_b,minus,0.4,0.0,1.5645190468737167e-05
maxwell,26092402,calibration_mode_b,minus,0.4,0.01,1.7693040114882226e-05
maxwell,26092402,calibration_mode_b,minus,0.4,0.05,3.17485051163851e-05
maxwell,26092403,calibration_mode_a,plus,0.05,0.0,2.2156900970689337e-05
maxwell,26092403,calibration_mode_a,plus,0.05,0.01,2.2712853398197163e-05
maxwell,26092403,calibration_mode_a,plus,0.05,0.05,2.516180439936036e-05
maxwell,26092403,calibration_mode_a,plus,0.1,0.0,2.2156900970689337e-05
maxwell,26092403,calibration_mode_a,plus,0.1,0.01,2.321514131090813e-05
maxwell,26092403,calibration_mode_a,plus,0.1,0.05,2.8155422208503237e-05
maxwell,26092403,calibration_mode_a,plus,0.2,0.0,2.2156900970689337e-05
maxwell,26092403,calibration_mode_a,plus,0.2,0.01,2.406778311305512e-05
maxwell,26092403,calibration_mode_a,plus,0.2,0.05,3.356199309471337e-05
maxwell,26092403,calibration_mode_a,plus,0.4,0.0,2.2156900970689337e-05
maxwell,26092403,calibration_mode_a,plus,0.4,0.01,2.5268059657462878e-05
maxwell,26092403,calibration_mode_a,plus,0.4,0.05,4.147056439317934e-05
maxwell,26092403,calibration_mode_a,minus,0.05,0.0,2.252917851135913e-05
maxwell,26092403,calibration_mode_a,minus,0.05,0.01,2.308699267095459e-05
maxwell,26092403,calibration_mode_a,minus,0.05,0.05,2.5540527454353793e-05
maxwell,26092403,calibration_mode_a,minus,0.1,0.0,2.252917851135913e-05
maxwell,26092403,calibration_mode_a,minus,0.1,0.01,2.359058407371292e-05
maxwell,26092403,calibration_mode_a,minus,0.1,0.05,2.8535379575908055e-05
maxwell,26092403,calibration_mode_a,minus,0.2,0.0,2.252917851135913e-05
maxwell,26092403,calibration_mode_a,minus,0.2,0.01,2.4444699412499256e-05
maxwell,26092403,calibration_mode_a,minus,0.2,0.05,3.3939646120165476e-05
maxwell,26092403,calibration_mode_a,minus,0.4,0.0,2.252917851135913e-05
maxwell,26092403,calibration_mode_a,minus,0.4,0.01,2.5645442174468877e-05
maxwell,26092403,calibration_mode_a,minus,0.4,0.05,4.184083227270076e-05
maxwell,26092403,calibration_mode_b,plus,0.05,0.0,2.8836447716830745e-05
maxwell,26092403,calibration_mode_b,plus,0.05,0.01,2.9556647995357662e-05
maxwell,26092403,calibration_mode_b,plus,0.05,0.05,3.2592738786252114e-05
maxwell,26092403,calibration_mode_b,plus,0.1,0.0,2.8836447716830745e-05
maxwell,26092403,calibration_mode_b,plus,0.1,0.01,3.019507064453697e-05
maxwell,26092403,calibration_mode_b,plus,0.1,0.05,3.611750908001713e-05
maxwell,26092403,calibration_mode_b,plus,0.2,0.0,2.8836447716830745e-05
maxwell,26092403,calibration_mode_b,plus,0.2,0.01,3.125520904965527e-05
maxwell,26092403,calibration_mode_b,plus,0.2,0.05,4.22123887346039e-05
maxwell,26092403,calibration_mode_b,plus,0.4,0.0,2.8836447716830745e-05
maxwell,26092403,calibration_mode_b,plus,0.4,0.01,3.2699557210435554e-05
maxwell,26092403,calibration_mode_b,plus,0.4,0.05,5.078001764322799e-05
maxwell,26092403,calibration_mode_b,minus,0.05,0.0,1.564519046873116e-05
maxwell,26092403,calibration_mode_b,minus,0.05,0.01,1.5967654438431735e-05
maxwell,26092403,calibration_mode_b,minus,0.05,0.05,1.7602874979324192e-05
maxwell,26092403,calibration_mode_b,minus,0.1,0.0,1.564519046873116e-05
maxwell,26092403,calibration_mode_b,minus,0.1,0.01,1.6277116141241806e-05
maxwell,26092403,calibration_mode_b,minus,0.1,0.05,1.9901554615874783e-05
maxwell,26092403,calibration_mode_b,minus,0.2,0.0,1.564519046873116e-05
maxwell,26092403,calibration_mode_b,minus,0.2,0.01,1.683700523133262e-05
maxwell,26092403,calibration_mode_b,minus,0.2,0.05,2.4496908257019643e-05
maxwell,26092403,calibration_mode_b,minus,0.4,0.0,1.564519046873116e-05
maxwell,26092403,calibration_mode_b,minus,0.4,0.01,1.7693040114893986e-05
maxwell,26092403,calibration_mode_b,minus,0.4,0.05,3.174850511636572e-05
