seed,condition,angle_deg,initial_global_energy,initial_local_energy,nonlinear_auc,analytic_linear_auc,nonlinear_increment_auc
1,separated,65.0,1.0,0.7030705718905896,1.2511785241477307,1.193241302923931,0.05793722122379963
1,separated,70.0,1.0,0.7030705718905895,1.2511785241433337,1.1932413029196864,0.057937221223647306
1,separated,75.0,1.0,0.7030705718905894,1.2511785241387885,1.193241302915298,0.05793722122349054
1,separated,80.0,1.0,0.7030705718905896,1.251178524134128,1.1932413029107982,0.05793722122332978
1,separated,85.0,1.0,0.7030705718905896,1.251178524129388,1.1932413029062214,0.05793722122316658
1,separated,90.0,1.0,0.7030705718905895,1.2511785241246027,1.1932413029016018,0.057937221223000934
2,coherent,0.0,1.0000000000000002,0.7030167211858375,1.4203222375289326,1.3010393311605257,0.11928290636840688
2,coherent,5.0,1.0000000000000002,0.7030167211858375,1.4199781524622774,1.3007409015042437,0.11923725095803372
2,coherent,10.0,1.0000000000000002,0.7030167211858376,1.4189446591614636,1.2998445316445457,0.1191001275169179
2,coherent,15.0,1.0000000000000002,0.7030167211858375,1.4172180269484504,1.2983469645557546,0.11887106239269585
2,coherent,20.0,1.0000000000000002,0.7030167211858375,1.4147919829801823,1.2962427236083003,0.11854925937188199
2,coherent,25.0,1.0000000000000002,0.7030167211858376,1.4116576280418731,1.2935240387341878,0.11813358930768536
2,coherent,30.0,1.0000000000000002,0.7030167211858375,1.4078033152999467,1.2901807400747596,0.11762257522518715
2,coherent,35.0,1.0000000000000002,0.7030167211858376,1.403214488456479,1.2862001159456846,0.11701437251079438
2,coherent,40.0,1.0000000000000002,0.7030167211858376,1.397873474426763,1.2815667307750818,0.11630674365168114
2,coherent,45.0,1.0000000000000002,0.7030167211858376,1.3917592240815106,1.276262197256095,0.11549702682541563
2,coherent,50.0,1.0000000000000002,0.7030167211858375,1.3848469926574618,1.2702648952156232,0.11458209744183856
2,coherent,55.0,1.0000000000000002,0.7030167211858376,1.3771079490159648,1.2635496275183327,0.11355832149763212
2,coherent,60.0,1.0000000000000002,0.7030167211858376,1.368508699845529,1.2560872005402672,0.11242149930526169
2,coherent,65.0,1.0000000000000002,0.7030167211858374,1.3590107109249292,1.2478439131410417,0.1111667977838875
2,coherent,70.0,1.0000000000000002,0.7030167211858375,1.3485696023604936,1.238780933333691,0.10978866902680262
2,coherent,75.0,1.0000000000000002,0.7030167211858376,1.3371342878235977,1.2288535355672874,0.10828075225631029
2,coherent,80.0,1.0000000000000002,0.7030167211858375,1.324645918584824,1.2180101630843732,0.1066357555004509
2,coherent,85.0,1.0000000000000002,0.7030167211858375,1.3110365806190858,1.2061912682991434,0.10484531231994243
2,coherent,90.0,1.0000000000000002,0.7030167211858376,1.2962276758455453,1.1933278682440365,0.10289980760150885
2,shuffled,0.0,1.0000000000000002,0.7030167211858376,0.6239397923545732,0.5940863481650438,0.0298534441895294
2,shuffled,5.0,1.0000000000000002,0.7030167211858375,0.620379533906329,0.5908123381032091,0.02956719580311995
2,shuffled,10.0,1.0000000000000002,0.7030167211858375,0.6228959205103285,0.5929860877599752,0.029909832750353305
2,shuffled,15.0,1.0000000000000002,0.7030167211858375,0.6136015904350581,0.5846079738884394,0.028993616546618695
2,shuffled,20.0,1.0000000000000002,0.7030167211858375,0.6179136775502704,0.5885946134472705,0.029319064102999892
2,shuffled,25.0,1.0000000000000002,0.7030167211858374,0.6164536904921769,0.5873685284644385,0.029085162027738365
2,shuffled,30.0,1.0000000000000002,0.7030167211858375,0.6109180054591192,0.5824852138759254,0.028432791583193784
2,shuffled,35.0,1.0000000000000002,0.7030167211858375,0.6033930116072899,0.5757928266362787,0.027600184971011132
2,shuffled,40.0,1.0000000000000002,0.7030167211858377,0.5955969878767284,0.5688858199668297,0.026711167909898692
2,shuffled,45.0,1.0000000000000002,0.7030167211858375,0.5884250554322491,0.5624696056236425,0.025955449808606645
2,shuffled,50.0,1.0000000000000002,0.7030167211858375,0.5946732733740404,0.5680809582055875,0.02659231516845295
2,shuffled,55.0,1.0000000000000002,0.7030167211858375,0.5975958910930174,0.5706388731326344,0.026957017960382967
2,shuffled,60.0,1.0000000000000002,0.7030167211858374,0.604002244269233,0.5761928925322214,0.0278093517370116
2,shuffled,65.0,1.0000000000000002,0.7030167211858375,0.5896602161654794,0.5634092769945486,0.026250939170930798
2,shuffled,70.0,1.0000000000000002,0.7030167211858375,0.5860643916259811,0.5601746292878307,0.025889762338150435
2,shuffled,75.0,1.0000000000000002,0.7030167211858374,0.5840448229397986,0.5583765053523774,0.025668317587421274
2,shuffled,80.0,1.0000000000000002,0.7030167211858376,0.579114073054525,0.5539144013398826,0.025199671714642435
2,shuffled,85.0,1.0000000000000002,0.7030167211858375,0.573399528708352,0.5487267369918964,0.024672791716455533
2,shuffled,90.0,1.0000000000000002,0.7030167211858375,0.5670398781068969,0.5429042913695586,0.024135586737338288
2,separated,0.0,1.0,0.7032570992328427,1.2511988250136905,1.1932374429142876,0.057961382099402936
2,separated,5.0,1.0,0.7032570992328427,1.2511988250134847,1.193237442914089,0.05796138209939561
2,separated,10.0,1.0,0.7032570992328427,1.2511988250128687,1.1932374429134949,0.05796138209937385
2,separated,15.0,1.0,0.7032570992328427,1.2511988250118478,1.1932374429125088,0.05796138209933899
2,separated,20.0,1.0,0.7032570992328426,1.2511988250104287,1.1932374429111383,0.05796138209929036
2,separated,25.0,1.0,0.7032570992328426,1.251198825008622,1.1932374429093942,0.05796138209922774
2,separated,30.0,1.0,0.7032570992328427,1.2511988250064405,1.193237442907288,0.05796138209915247
2,separated,35.0,1.0,0.7032570992328426,1.251198825003901,1.1932374429048362,0.05796138209906476
2,separated,40.0,1.0,0.7032570992328426,1.251198825001022,1.1932374429020565,0.05796138209896551
2,separated,45.0,1.0,0.7032570992328427,1.2511988249978245,1.1932374428989694,0.05796138209885515
2,separated,50.0,1.0,0.7032570992328426,1.2511988249943318,1.1932374428955976,0.05796138209873414
2,separated,55.0,1.0,0.7032570992328426,1.2511988249905701,1.1932374428919659,0.05796138209860424
2,separated,60.0,1.0,0.7032570992328426,1.2511988249865666,1.1932374428881005,0.05796138209846613
2,separated,65.0,1.0,0.7032570992328426,1.2511988249823514,1.1932374428840307,0.05796138209832069
2,separated,70.0,1.0,0.7032570992328426,1.2511988249779553,1.1932374428797863,0.057961382098169034
2,separated,75.0,1.0,0.7032570992328427,1.2511988249734103,1.1932374428753982,0.05796138209801205
2,separated,80.0,1.0,0.7032570992328427,1.2511988249687511,1.1932374428708998,0.05796138209785129
2,separated,85.0,1.0,0.7032570992328427,1.2511988249640114,1.1932374428663242,0.0579613820976872
2,separated,90.0,1.0,0.7032570992328427,1.251198824959227,1.1932374428617045,0.05796138209752244
3,coherent,0.0,1.0,0.7030743017340509,1.420403140930938,1.3011554303263726,0.1192477106045653
3,coherent,5.0,1.0,0.7030743017340509,1.420058780865787,1.3008567700787264,0.11920201078706061
3,coherent,10.0,1.0,0.7030743017340509,1.4190244594223285,1.299959705683474,0.1190647537388545
3,coherent,15.0,1.0,0.7030743017340509,1.417296436427591,1.2984609717811857,0.11883546464640538
3,coherent,20.0,1.0,0.7030743017340509,1.4148684230344526,1.2963550776870791,0.11851334534737346
3,coherent,25.0,1.0,0.7030743017340509,1.4117314972425767,1.2936342333042565,0.11809726393832021
3,coherent,30.0,1.0,0.7030743017340509,1.407873982263027,1.29028824241083,0.11758573985219711
3,coherent,35.0,1.0,0.7030743017340509,1.403281284161609,1.2863043601483806,0.11697692401322834
3,coherent,40.0,1.0,0.7030743017340509,1.3979356838942072,1.281667110358264,0.11626857353594322
3,coherent,45.0,1.0,0.7030743017340509,1.3918160772662518,1.2763580569958937,0.11545802027035812
3,coherent,50.0,1.0,0.7030743017340509,1.384897654410366,1.2703555221122715,0.1145421322980944
