condition,angle_deg,paired_auc,auc_ci_low,auc_ci_high,paired_fraction,fraction_ci_low,fraction_ci_high,paired_dz,dz_ci_low,dz_ci_high,simultaneous_fraction_low,simultaneous_fraction_high
coherent,85.0,0.0019465234689467852,0.001946253754048079,0.0019468100324926362,0.001631279791838693,0.0016310433856181591,0.0016315188447406715,2664.946525938514,2296.318493165819,3447.1449298262255,0.0016309278536857086,0.0016316317299916777
coherent,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
shuffled,0.0,-0.0008402073324000845,-0.002286495707327231,0.0006229446555231378,-0.0007042001794361801,-0.001916207004996288,0.000522038734626911,-0.22782679843708725,-0.6686799916676518,0.1807113441669924,-0.0024813241196978645,0.0010729237608255045
shuffled,5.0,-0.0006962404546042045,-0.002041577089218192,0.0006870835918112113,-0.000583537270437044,-0.001710976355881063,0.000575750878637152,-0.20200493376967538,-0.6619777849401921,0.206609450835622,-0.0022443972335980658,0.0010773226927239775
shuffled,10.0,-0.00038194767820156256,-0.0016410329905080455,0.0009117105343494175,-0.0003201331513202553,-0.00137537211084266,0.0007639683969420455,-0.11732476966924561,-0.5837446216073393,0.2837625407059234,-0.001888932255765054,0.0012486659531245432
shuffled,15.0,-0.0003874281209265279,-0.0016163558620677883,0.0008648846447114503,-0.0003247291853588872,-0.0013546880353879985,0.0007247572351599427,-0.12250780069162649,-0.5803500869777152,0.28531642340309665,-0.00184872569726335,0.001199267326545576
shuffled,20.0,-0.00021533949575464525,-0.0014879007264866836,0.0010670031005021005,-0.0001805115622813573,-0.0012469013723985657,0.0008940860696522293,-0.06594019970213119,-0.5135100423611184,0.3419117903903525,-0.0017544261482130956,0.001393403023650381
shuffled,25.0,-0.00016272614345223582,-0.0014465355286008529,0.0011304877924963438,-0.00013642215583651747,-0.0012122929491110532,0.0009473781034520114,-0.049609618246950205,-0.5023464780037655,0.3509406225135329,-0.001717471471195317,0.001444627159522282
shuffled,30.0,-0.00012902324385662828,-0.0014076567094907433,0.0011642389582550367,-0.00010817016684284167,-0.0011797432167756539,0.0009756930046694229,-0.03953148716480862,-0.4912659795621397,0.3615527289800311,-0.0016813948082611049,0.0014650544745754214
shuffled,35.0,-5.267656445089031e-06,-0.001264004720540391,0.0012590258656186661,-4.4453752317776545e-06,-0.0010593080141353955,0.0010550935963619357,-0.0016426201862765773,-0.43951867747096224,0.4062812778358472,-0.0015604026343476105,0.001551511883884055
shuffled,40.0,1.4062663410398246e-05,-0.0011501165170341911,0.0011605947132077557,1.1761594138362549e-05,-0.000963865624581277,0.0009726424236604851,0.004796405465788095,-0.42583969788172593,0.4202551881224234,-0.001398100691130616,0.0014216238794073411
shuffled,45.0,1.0086171399414923e-05,-0.0010277369159589476,0.0010177692593234227,8.43447556980103e-06,-0.0008612669759769448,0.0008529285833058177,0.003886918746689737,-0.4156310564890067,0.4324882129409108,-0.0012391760090875684,0.0012560449602271706
shuffled,50.0,-8.04884813227306e-05,-0.0009985836875702776,0.0008403662878457559,-6.746235039812563e-05,-0.0008368475410301583,0.0007042843704709365,-0.03429004660173327,-0.4836675491083003,0.3644612919990587,-0.0011986112723500735,0.0010636865715538224
shuffled,55.0,2.1764113421159543e-05,-0.0008311127051471976,0.000863945181881941,1.822649104336573e-05,-0.0006965251505736612,0.0007240350664698037,0.010076481998365975,-0.43501725047248724,0.4188069034143736,-0.0010217428265608217,0.0010581958086475533
shuffled,60.0,0.00018729936870840366,-0.0006041937188169248,0.0009686428734697613,0.000156951281244941,-0.0005063892283162158,0.0008118017870521698,0.09335616914406493,-0.32729021437672307,0.5205073064907564,-0.000809651936243655,0.0011235544987335368
shuffled,65.0,0.00021798928112491678,-0.0004882256294706106,0.0008993908958203241,0.00018267920966602891,-0.0004091684683716713,0.0007537068050661918,0.12275785090507303,-0.2901937649345084,0.5729776950257329,-0.0006729118553863634,0.0010382702747184214
shuffled,70.0,5.660820135953518e-05,-0.0005808973340484817,0.0006655773088741772,4.743529336720053e-05,-0.00048682105383847705,0.0005577650336071711,0.035313676481043096,-0.3679911481725574,0.49029643621702673,-0.0007248629555469612,0.0008197335422813624
shuffled,75.0,3.074248990565335e-06,-0.0005359401090949218,0.0005114417298198654,2.569079913194786e-06,-0.00044914753270149733,0.00042861611821691964,0.00228339757789631,-0.4113254630903826,0.4420098038111363,-0.0006443090534298151,0.0006494472132562046
shuffled,80.0,9.886277459672059e-05,-0.0003162189842809247,0.0004888058559343946,8.284447726792595e-05,-0.00026501792089620227,0.0004096155565445548,0.0969019794178519,-0.31753830386792664,0.5505335123803754,-0.00040869375895462783,0.0005743827134904798
shuffled,85.0,5.533320802937151e-05,-0.00023041498764786323,0.0003130832908797058,4.637130510487626e-05,-0.00019310135161737982,0.00026238293655981155,0.08029899007247017,-0.30399284140687394,0.5997778683972158,-0.00028564975299558403,0.0003783923632053366
